2019-01-11 09:41:30 [main:0] - [INFO] [useNIO:75] [testSelector] [系统消息提示]NIO服务器初始化完毕，监听端口33333
2019-01-11 09:41:56 [main:26035] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:41:56 [main:26178] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:41:56 [main:26340] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:41:56 [main:26517] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:41:57 [main:26835] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:41:57 [main:27011] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:41:57 [main:27172] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:41:57 [main:27323] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:41:57 [main:27451] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:41:57 [main:27593] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:41:57 [main:27762] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:41:58 [main:27938] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:41:58 [main:28067] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:41:58 [main:28266] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:41:58 [main:28459] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:41:58 [main:28611] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:41:58 [main:28770] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:41:59 [main:28962] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:41:59 [main:29115] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:41:59 [main:29323] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:00 [main:29978] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:42:00 [main:30010] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:00 [main:30211] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:42:00 [main:30354] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:00 [main:30507] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:42:00 [main:30676] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:01 [main:30811] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:42:01 [main:30962] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:01 [main:31129] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:42:01 [main:31290] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:01 [main:31435] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:42:01 [main:31583] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:01 [main:31763] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:42:02 [main:31896] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:02 [main:32059] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:42:02 [main:32203] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:02 [main:32357] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:42:02 [main:32492] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:02 [main:32650] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[d]new connect
2019-01-11 09:42:03 [main:32795] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:03 [main:33328] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:03 [main:33360] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:03 [main:33394] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:03 [main:33426] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:03 [main:33459] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:03 [main:33493] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:03 [main:33525] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:03 [main:33559] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:03 [main:33591] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:03 [main:33625] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
2019-01-11 09:42:03 [main:33658] - [INFO] [useNIO:131] [DoSomeThing] [系统消息提示]服务器发现[f]new connect
